,Bettongia penicillata,Bradypus tridactylus,Sapajus apella,Cyclopes didactylus,Dasyprocta leporina,Dasypus novemcinctus,Epomops franqueti,Felis catus,Macroscelides proboscideus,Phataginus tricuspis,Microcebus murinus,Monodelphis domestica,Mus musculus,Ornithorhynchus anatinus,Phacochoerus aethiopicus,Phascolarctos cincereus,Rattus rattus,Setifer setosus,Setonix brachyurus,Sminthopsis macroura,Talpa europaea,Trichosaurus vulpecula
Interfrontal,9,4,1,7,8,27,5,8,20,8,8,11,4,1,7,8,5,15,6,16,12,19
Fronto.parietal,5,3,13,12,6,12,3,1,12,13,8,9,13,12,12,15,7,4,11,11,6,7
Interparietal,12,6,24,16,9,18,7,15,26,13,12,24,19,1,1,11,19,24,16,29,27,21
Supraoccipito.parietal,12,9,24,16,11,18,7,15,12,8,26,13,22,12,9,11,23,12,13,25,25,13
Basispheno.presphenoid,20,27,30,24,21,25,20,15,1,18,31,30,28,20,14,27,30,22,30,25,22,24
Basispheno.basioccipital,20,22,29,18,31,23,26,27,29,18,29,27,27,20,23,27,29,27,30,28,19,24
Exoccipito.basioccipital,20,22,13,18,18,31,14,15,17,18,8,22,7,29,12,27,19,19,22,20,27,24
Exoccipito.squamosal,20,20,17,12,26,18,20,27,22,13,12,27,31,12,11,18,26,29,19,16,31,7
Exoccipito.supraoccipital,20,12,6,12,26,27,14,5,27,1,12,26,4,25,27,27,19,18,22,19,30,24
Alispheno.squamosal,3,12,17,18,6,12,14,2,8,12,3,7,7,1,2,8,5,4,3,15,13,3
Alispheno.orbitosphenoid,20,22,24,25,11,23,24,26,22,13,12,29,22,27,20,22,17,25,22,29,25,24
Orbitospheno.frontal,20,16,24,11,14,12,20,15,12,7,12,25,22,20,7,11,24,7,17,16,15,14
Fronto.squamosal,12,22,30,26,3,27,29,5,17,23,12,20,2,30,2,24,15,3,22,5,19,24
Parieto.squamosal,2,8,8,18,5,18,1,2,3,23,12,11,11,1,5,11,3,6,5,8,14,7
Supraoccipito.squamosal,20,16,28,18,9,27,26,27,27,18,24,31,30,17,9,27,26,28,22,22,23,24
Interpremaxillary,12,1,20,1,1,10,29,11,1,2,1,1,4,30,31,4,2,7,8,1,4,18
Intermaxillary,20,16,13,7,26,12,7,15,3,6,12,20,22,1,27,6,7,11,27,23,1,14
Premaxillo.maxillary..ventral.,20,28,17,26,21,4,29,11,24,25,26,22,19,12,25,15,13,22,29,20,23,19
Interpalatine,31,16,20,3,2,18,14,30,5,8,24,19,26,1,24,3,3,14,19,14,11,21
Maxillo.palatine,11,20,20,12,18,4,6,4,20,5,12,17,7,17,22,18,7,15,18,29,9,14
Pterygo.palatine,12,12,13,3,21,2,28,11,30,29,12,17,11,27,4,4,13,19,15,5,9,4
Premaxillo.maxillary..facial.,17,28,4,26,26,7,7,15,24,25,12,15,16,20,30,22,15,25,27,11,17,21
Premaxillo.nasal,7,28,8,26,21,4,14,15,8,8,3,3,18,12,25,26,17,12,3,2,6,2
Internasal,7,12,2,6,14,1,2,11,5,3,3,10,1,26,20,15,1,1,10,3,3,7
Maxillo.jugal,5,10,8,26,4,10,14,5,8,29,8,6,10,1,14,2,7,30,8,3,2,7
Maxillo.lacrimal,9,2,6,7,14,7,12,24,17,18,6,4,2,1,14,6,24,7,7,5,8,4
Naso.frontal,17,10,3,23,21,12,7,8,12,25,6,2,16,1,14,8,7,1,13,11,4,7
Lacrimo.frontal,3,22,5,2,30,12,4,31,8,25,1,4,14,1,18,18,26,7,2,8,17,4
Jugo.squamosal,17,28,8,26,11,25,12,24,30,29,12,15,28,1,27,18,30,30,21,10,15,24
Palato.alisphenoid,20,6,12,7,18,2,24,8,12,17,26,13,14,20,5,24,7,17,12,23,27,14
Palato.orbitosphenoid,1,4,20,3,14,7,20,15,5,3,29,7,19,19,18,1,19,21,1,25,19,1