Species,total_closure_score,Age
Bettongia penicillata,0,Group1
Bradypus tridactylus,5.913978495,Group1
Sapajus apella,0.806451613,Group1
Cyclopes didactylus,20.96774194,Group1
Dasyprocta leporina,8.467741935,Group1
Dasypus novemcinctus,3.225806452,Group1
Epomops franqueti,14.24731183,Group1
Felis catus,0,Group1
Macroscelides proboscideus,33.06451613,Group1
Phataginus tricuspis,24.19354839,Group1
Microcebus murinus,,Group1
Monodelphis domestica,8.870967742,Group1
Mus musculus,,Group1
Ornithorhynchus anatinus,,Group1
Phacochoerus aethiopicus,9.139784946,Group1
Phascolarctos cincereus,0,Group1
Rattus rattus,,Group1
Setifer setosus,,Group1
Setonix brachyurus,7.258064516,Group1
Sminthopsis macroura,0,Group1
Talpa europaea,,Group1
Trichosaurus vulpecula,3.225806452,Group1
Bettongia penicillata,11.02150538,Group2
Bradypus tridactylus,22.98387097,Group2
Sapajus apella,29.83870968,Group2
Cyclopes didactylus,25.80645161,Group2
Dasyprocta leporina,23.18548387,Group2
Dasypus novemcinctus,30.24193548,Group2
Epomops franqueti,51.61290323,Group2
Felis catus,17.54032258,Group2
Macroscelides proboscideus,68.5483871,Group2
Phataginus tricuspis,17.94354839,Group2
Microcebus murinus,26.20967742,Group2
Monodelphis domestica,45.85253456,Group2
Mus musculus,39.71774194,Group2
Ornithorhynchus anatinus,71.77419355,Group2
Phacochoerus aethiopicus,65.32258065,Group2
Phascolarctos cincereus,5.040322581,Group2
Rattus rattus,30.10752688,Group2
Setifer setosus,46.37096774,Group2
Setonix brachyurus,31.69354839,Group2
Sminthopsis macroura,21.97580645,Group2
Talpa europaea,32.39247312,Group2
Trichosaurus vulpecula,6.612903226,Group2
Bettongia penicillata,33.06451613,Group3
Bradypus tridactylus,31.4516129,Group3
Sapajus apella,48.38709677,Group3
Cyclopes didactylus,35.48387097,Group3
Dasyprocta leporina,72.58064516,Group3
Dasypus novemcinctus,,Group3
Epomops franqueti,,Group3
Felis catus,34.67741935,Group3
Macroscelides proboscideus,66.12903226,Group3
Phataginus tricuspis,33.87096774,Group3
Microcebus murinus,86.29032258,Group3
Monodelphis domestica,49.19354839,Group3
Mus musculus,67.74193548,Group3
Ornithorhynchus anatinus,83.87096774,Group3
Phacochoerus aethiopicus,58.06451613,Group3
Phascolarctos cincereus,62.90322581,Group3
Rattus rattus,48.38709677,Group3
Setifer setosus,59.67741935,Group3
Setonix brachyurus,49.19354839,Group3
Sminthopsis macroura,58.06451613,Group3
Talpa europaea,43.5483871,Group3
Trichosaurus vulpecula,43.5483871,Group3
Bettongia penicillata,96.77419355,Group4
Bradypus tridactylus,83.06451613,Group4
Sapajus apella,62.09677419,Group4
Cyclopes didactylus,70.16129032,Group4
Dasyprocta leporina,79.83870968,Group4
Dasypus novemcinctus,99.19354839,Group4
Epomops franqueti,75,Group4
Felis catus,80.64516129,Group4
Macroscelides proboscideus,91.93548387,Group4
Phataginus tricuspis,51.61290323,Group4
Microcebus murinus,88.70967742,Group4
Monodelphis domestica,80.64516129,Group4
Mus musculus,53.22580645,Group4
Ornithorhynchus anatinus,90.32258065,Group4
Phacochoerus aethiopicus,81.4516129,Group4
Phascolarctos cincereus,66.12903226,Group4
Rattus rattus,64.51612903,Group4
Setifer setosus,84.67741935,Group4
Setonix brachyurus,78.22580645,Group4
Sminthopsis macroura,65.32258065,Group4
Talpa europaea,83.87096774,Group4
Trichosaurus vulpecula,41.12903226,Group4